team,day,calls,broadband,mobile,tv,regrades,hh_orders,hh_value
Alex Team,1,135,19,13,11,4,12,328.77
Blair Team,1,192,34,25,12,5,16,529.18
Casey Team,1,143,24,24,6,4,14,387.04
Dana Team,1,123,17,12,12,7,11,331.37
Ellis Team,1,20,1,3,0,2,0,0.0
Finlay Team,1,254,45,34,23,10,31,1109.5
Glen Team,1,139,21,24,7,3,13,371.19
Harper Team,1,116,14,26,9,2,10,350.28
Alex Team,2,215,35,27,14,5,16,482.97
Blair Team,2,210,32,36,16,6,22,688.7
Casey Team,2,12,2,3,0,0,1,29.4
Dana Team,2,37,5,3,5,2,3,106.7
Ellis Team,2,234,53,35,14,9,30,818.0
Finlay Team,2,187,25,22,10,9,13,418.35
Glen Team,2,190,29,25,6,6,15,415.41
Harper Team,2,177,43,21,11,11,17,572.09
Alex Team,3,211,38,26,11,4,15,493.09
Blair Team,3,143,15,21,7,5,9,304.5
Casey Team,3,148,32,26,7,5,19,618.07
Dana Team,3,167,25,18,14,8,15,456.82
Ellis Team,3,200,36,24,17,7,16,450.79
Finlay Team,3,191,31,28,13,7,16,544.59
Glen Team,3,226,37,36,21,6,28,931.25
Harper Team,3,147,25,22,9,3,15,448.43
Alex Team,4,16,5,5,2,0,2,72.22
Blair Team,4,199,39,29,18,7,22,618.92
Casey Team,4,222,42,36,12,9,26,923.62
Dana Team,4,182,24,27,6,5,15,449.26
Ellis Team,4,161,22,23,12,3,15,420.29
Finlay Team,4,37,6,5,3,2,4,128.63
Glen Team,4,153,25,16,4,9,13,440.46
Harper Team,4,214,38,32,15,7,20,727.33
Alex Team,5,264,52,39,8,5,21,579.41
Blair Team,5,221,41,30,13,4,21,651.54
Casey Team,5,162,26,25,10,7,16,460.23
Dana Team,5,28,5,1,2,2,2,61.85
Ellis Team,5,265,59,47,13,4,25,684.37
Finlay Team,5,7,2,0,0,1,0,0.0
Glen Team,5,155,29,24,13,6,19,568.24
Harper Team,5,165,31,28,18,4,18,623.76
Alex Team,6,242,47,23,20,6,18,646.05
Blair Team,6,22,3,6,3,1,3,94.52
Casey Team,6,228,46,30,14,6,27,825.36
Dana Team,6,15,1,3,1,0,1,33.93
Ellis Team,6,32,3,2,5,0,2,70.01
Finlay Team,6,214,43,30,6,6,16,453.45
Glen Team,6,39,7,10,2,0,5,146.73
Harper Team,6,210,27,24,13,13,13,422.72
Alex Team,7,271,49,61,14,13,37,1168.25
Blair Team,7,196,37,28,11,6,16,584.87
Casey Team,7,193,32,30,9,9,20,726.36
Dana Team,7,255,53,38,14,10,32,916.61
Ellis Team,7,193,37,33,15,15,26,845.84
Finlay Team,7,176,38,30,9,5,17,618.1
Glen Team,7,208,32,33,15,7,22,643.38
Harper Team,7,135,14,18,9,3,10,358.8
Alex Team,8,240,43,29,15,5,22,805.38
Blair Team,8,182,33,23,7,3,13,372.56
Casey Team,8,135,21,25,8,5,12,348.55
Dana Team,8,31,3,3,1,0,1,31.62
Ellis Team,8,182,35,30,12,2,23,828.93
Finlay Team,8,4,0,1,0,0,0,0.0
Glen Team,8,274,50,45,14,10,32,1027.59
Harper Team,8,167,22,23,10,3,12,369.86
Alex Team,9,16,2,1,2,0,1,34.78
Blair Team,9,153,20,22,10,6,13,369.52
Casey Team,9,235,44,35,11,5,21,606.15
Dana Team,9,127,16,19,7,8,9,279.17
Ellis Team,9,189,36,29,17,6,21,627.64
Finlay Team,9,190,33,27,12,4,15,495.93
Glen Team,9,134,22,20,4,3,10,278.08
Harper Team,9,190,32,24,13,7,18,571.09
Alex Team,10,203,26,24,15,10,14,389.74
Blair Team,10,171,30,29,7,7,15,431.57
Casey Team,10,201,32,35,11,8,19,585.55
Dana Team,10,221,37,29,18,6,22,789.85
Ellis Team,10,120,16,21,8,4,13,452.02
Finlay Team,10,225,43,38,14,8,28,853.55
Glen Team,10,169,33,20,8,6,17,567.04
Harper Team,10,140,24,17,7,2,14,459.21
Alex Team,11,206,33,30,14,2,22,795.26
Blair Team,11,177,34,26,12,5,20,723.4
Casey Team,11,140,34,24,5,7,18,579.26
Dana Team,11,174,28,18,9,7,11,334.42
Ellis Team,11,212,40,35,10,6,18,520.08
Finlay Team,11,182,34,28,5,6,15,546.39
Glen Team,11,148,38,21,10,2,19,555.09
Harper Team,11,173,25,21,5,5,13,361.8
Alex Team,12,235,33,31,21,6,20,667.65
Blair Team,12,73,6,8,6,3,4,117.32
Casey Team,12,183,30,23,7,4,16,566.63
Dana Team,12,174,28,27,8,4,18,491.85
Ellis Team,12,30,5,7,3,0,3,92.54
Finlay Team,12,129,19,20,7,4,11,330.3
Glen Team,12,158,32,23,14,6,17,466.07
Harper Team,12,195,37,33,20,6,20,596.28
Alex Team,13,10,2,2,1,0,1,28.51
Blair Team,13,202,31,28,11,6,14,403.15
Casey Team,13,187,33,24,10,7,16,522.2
Dana Team,13,149,27,28,11,3,13,386.33
Ellis Team,13,179,36,19,13,5,19,596.11
Finlay Team,13,153,30,26,11,3,18,551.98
Glen Team,13,26,3,4,3,1,2,67.05
Harper Team,13,204,31,41,18,2,25,902.06
Alex Team,14,212,31,29,20,11,20,709.51
Blair Team,14,185,31,19,12,4,13,363.2
Casey Team,14,230,38,35,19,8,21,576.12
Dana Team,14,144,16,26,9,8,14,514.92
Ellis Team,14,159,27,24,13,10,18,561.79
Finlay Team,14,236,46,34,12,6,21,579.69
Glen Team,14,26,4,5,1,2,2,56.12
Harper Team,14,189,28,24,17,6,18,578.19
Alex Team,15,159,23,26,9,2,17,606.63
Blair Team,15,156,39,18,9,6,18,516.19
Casey Team,15,151,26,23,10,2,17,505.75
Dana Team,15,151,31,29,13,6,20,649.76
Ellis Team,15,9,1,2,0,0,0,0.0
Finlay Team,15,129,16,23,8,4,12,421.4
Glen Team,15,207,33,22,15,9,19,640.86
Harper Team,15,253,49,30,11,6,25,718.58
Alex Team,16,181,28,28,18,6,17,565.87
Blair Team,16,231,46,40,21,6,29,1048.28
Casey Team,16,28,2,3,2,0,1,30.52
Dana Team,16,196,27,38,19,7,18,620.63
Ellis Team,16,42,8,6,2,5,4,126.13
Finlay Team,16,177,34,28,12,4,22,630.3
Glen Team,16,175,31,24,9,11,16,572.53
Harper Team,16,205,39,32,11,9,21,766.39
Alex Team,17,193,38,23,6,9,18,627.24
Blair Team,17,198,34,31,12,4,19,528.51
Casey Team,17,213,39,31,12,6,22,660.0
Dana Team,17,153,31,25,5,4,13,383.81
Ellis Team,17,179,29,24,11,2,15,412.78
Finlay Team,17,15,2,1,1,1,1,29.12
Glen Team,17,191,36,35,7,6,21,746.79
Harper Team,17,148,29,20,12,2,18,584.22
Alex Team,18,263,45,42,21,6,33,1004.33
Blair Team,18,152,30,24,9,5,17,499.68
Casey Team,18,181,29,19,6,4,13,461.96
Dana Team,18,184,37,25,10,11,15,532.85
Ellis Team,18,247,43,50,16,8,30,853.89
Finlay Team,18,161,34,19,8,9,13,460.23
Glen Team,18,201,29,27,13,4,17,620.61
Harper Team,18,165,30,22,12,3,19,599.57
Alex Team,19,96,20,13,4,3,10,288.04
Blair Team,19,190,27,30,11,8,19,623.57
Casey Team,19,169,26,17,11,9,11,312.09
Dana Team,19,172,37,23,11,2,15,550.07
Ellis Team,19,216,39,32,10,7,25,702.54
Finlay Team,19,193,30,33,18,7,21,695.76
Glen Team,19,162,35,26,11,3,19,588.64
Harper Team,19,182,28,43,6,10,19,675.63
Alex Team,20,244,42,43,19,4,27,735.89
Blair Team,20,198,37,31,11,5,18,554.1
Casey Team,20,186,27,32,12,5,14,426.66
Dana Team,20,151,24,23,9,5,16,560.07
Ellis Team,20,210,32,24,12,3,17,504.31
Finlay Team,20,191,32,28,10,6,19,566.53
Glen Team,20,174,32,21,11,6,14,457.05
Harper Team,20,173,38,25,13,5,16,532.45
Alex Team,21,228,37,45,11,9,22,772.14
Blair Team,21,195,36,30,12,6,17,582.66
Casey Team,21,172,20,27,11,5,13,402.39
Dana Team,21,174,29,36,7,6,18,563.59
Ellis Team,21,202,39,23,17,4,19,558.14
Finlay Team,21,245,38,30,12,7,23,769.31
Glen Team,21,133,24,30,9,4,17,538.32
Harper Team,21,14,2,4,0,1,1,32.34
Alex Team,22,42,6,7,4,3,3,93.1
Blair Team,22,167,41,31,11,7,21,696.91
Casey Team,22,21,5,4,2,0,2,59.45
Dana Team,22,194,28,29,10,5,17,560.42
Ellis Team,22,179,27,20,14,5,18,639.6
Finlay Team,22,213,43,30,10,8,20,731.32
Glen Team,22,170,34,31,10,6,21,606.45
Harper Team,22,187,25,25,7,2,12,437.35
Alex Team,23,177,33,25,7,6,14,464.07
Blair Team,23,199,37,33,12,2,25,693.87
Casey Team,23,155,29,16,10,11,16,529.7
Dana Team,23,167,30,24,10,3,19,598.84
Ellis Team,23,133,27,22,10,0,14,445.49
Finlay Team,23,8,1,2,0,0,0,0.0
Glen Team,23,17,3,2,2,0,1,28.64
Harper Team,23,178,35,24,10,5,19,679.52
Alex Team,24,153,28,21,7,7,11,394.43
Blair Team,24,221,33,36,9,8,16,446.15
Casey Team,24,13,2,3,1,0,1,28.14
Dana Team,24,141,27,18,3,2,14,420.51
Ellis Team,24,123,17,13,8,5,10,322.91
Finlay Team,24,42,12,8,2,4,5,163.96
Glen Team,24,201,34,37,10,5,20,628.37
Harper Team,24,222,38,32,18,9,26,770.16
Alex Team,25,228,40,35,16,9,20,641.12
Blair Team,25,174,33,26,11,5,16,521.99
Casey Team,25,193,38,27,5,4,19,697.71
Dana Team,25,36,5,7,1,1,3,99.34
Ellis Team,25,227,36,40,16,5,28,860.5
Finlay Team,25,155,21,20,13,11,13,409.59
Glen Team,25,188,25,30,4,6,14,487.54
Harper Team,25,36,7,5,3,0,4,130.36
Alex Team,26,245,49,24,10,3,20,694.7
Blair Team,26,218,44,26,12,6,17,498.4
Casey Team,26,187,38,26,15,5,21,689.69
Dana Team,26,203,39,20,6,8,15,482.6
Ellis Team,26,221,45,29,9,8,21,659.27
Finlay Team,26,172,33,20,11,3,18,603.12
